ID,RefModID,UserID,DateTime,CalibFactor,Selected,Irradiance,TestTemp,VOC,ISC,PMax,VPmax,IPmax,ModTemp,AmbientTemp,LightSourceTemp,RefIrradiance,RefTemperature,RefAlpha,RefBeta,RefK,Note,Method,TestPiraSensitivity,TestPiraBaseTemp,TestPiraAlpha,RShunt,RSeries,MachineCode,TestLightPower
230,43,2,5/8/20 11:26 AM,0.993102908,0,1013.325256,22.96999931,37.96747971,9.181424141,266.0947266,30.84869957,8.625800133,22.96999931,22.88999939,22,1000,25,0.00469506,-0.116659999,0.002616266,75%,ISC,7.02E-05,22,-0.0015,138.7161407,0.436685771,SIM01,75
231,45,2,5/8/20 11:28 AM,0.993886471,0,804.9518433,23.04000092,37.5891304,7.256206512,211.261322,30.86540031,6.844600201,23.04000092,22.87999916,22,790.8300171,25,0.00469506,-0.116659999,0.002616266,58%,ISC,7.02E-05,22,-0.0015,213.4098206,0.484247804,SIM01,58
232,47,2,5/8/20 11:31 AM,0.996030033,0,606.6056519,23.15999985,37.126297,5.482743263,159.7061005,30.81879997,5.182099819,23.15999985,23.01000023,22,597.7399902,25,0.00469506,-0.116659999,0.002616266,43%,ISC,7.02E-05,22,-0.0015,477.6803894,0.565132022,SIM01,43
233,49,2,5/8/20 11:32 AM,1.004200935,0,394.798645,23.21999931,36.42086411,3.587007999,103.6530533,30.62400055,3.38470006,23.21999931,22.96999931,22,390.3299866,25,0.00469506,-0.116659999,0.002616266,28%,ISC,7.02E-05,22,-0.0015,1997.391235,0.756771326,SIM01,28
234,51,2,5/8/20 11:33 AM,1.032735229,0,202.9943848,23.23999977,35.26086807,1.831916571,51.47684097,29.77949905,1.728600025,23.23999977,23.12000084,22,200.7100067,25,0.00469506,-0.116659999,0.002616266,15%,ISC,7.02E-05,22,-0.0015,1094.414917,1.192257285,SIM01,15
235,51,2,5/8/20 12:24 PM,1.030332327,0,202.8576813,23.17000008,35.30696487,1.831931233,51.58125687,29.8260994,1.729400039,23.17000008,23.38999939,23,200.7100067,25,0.00469506,-0.116659999,0.002616266,15%,ISC,7.02E-05,22,-0.0015,1175.64563,1.187998772,SIM01,15
236,49,2,5/8/20 12:28 PM,1.002137184,0,394.4087524,23.22999954,36.42570114,3.586973429,103.7361908,30.57990074,3.392299891,23.22999954,23.38999939,23,390.3299866,25,0.00469506,-0.116659999,0.002616266,28%,ISC,7.02E-05,22,-0.0015,2035.104492,0.733153582,SIM01,28
237,47,2,5/8/20 12:30 PM,0.993902862,0,605.7017212,23.31999969,37.13412476,5.482756615,159.8583374,30.85829926,5.180399895,23.31999969,23.39999962,23,597.7399902,25,0.00469506,-0.116659999,0.002616266,43%,ISC,7.02E-05,22,-0.0015,476.605072,0.561895013,SIM01,43
238,45,2,5/8/20 12:31 PM,0.991522193,0,803.230896,23.39999962,37.5964241,7.256291866,211.3576202,30.99539948,6.818999767,23.39999962,23.47999954,23,790.8300171,25,0.00469506,-0.116659999,0.002616266,58,ISC,7.02E-05,22,-0.0015,209.8403931,0.484141707,SIM01,58
239,43,2,5/8/20 12:35 PM,0.990332425,0,1010.347473,23.62999916,37.97145844,9.181958199,266.25177,30.85009956,8.63049984,23.62999916,23.51000023,23,1000,25,0.00469506,-0.116659999,0.002616266,75%,ISC,7.02E-05,22,-0.0015,137.010788,0.433167607,SIM01,75
